#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMM ddd, E	Date & Time	Generic	Formats - Flexible - Date Formats	GyMMMEddd	https://st.unicode.org/v#/sr_Latn//603a79a6eac89f6a
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMM ddd	Date & Time	Generic	Formats - Flexible - Date Formats	MMMddd	https://st.unicode.org/v#/sr_Latn//2f89b98fe16795c5
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMM ddd, E	Date & Time	Generic	Formats - Flexible - Date Formats	MMMEddd	https://st.unicode.org/v#/sr_Latn//4fa24a77126102f9
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMMM ddd	Date & Time	Generic	Formats - Flexible - Date Formats	MMMMddd	https://st.unicode.org/v#/sr_Latn//400d5ffdcdaedd09
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMM ddd	Date & Time	Generic	Formats - Flexible - Date Formats	yyyyMMMddd	https://st.unicode.org/v#/sr_Latn//4e149fb9e38c193f
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMM ddd, E	Date & Time	Generic	Formats - Flexible - Date Formats	yyyyMMMEddd	https://st.unicode.org/v#/sr_Latn//6a4e46bfa8add33d
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	{0} – {1}	Date & Time	Generic	Formats - Intervals - Range	mixed	https://st.unicode.org/v#/sr_Latn//58efca47ccdca539
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	{0}–{1}	Date & Time	Generic	Formats - Intervals - Range	non-numeric	https://st.unicode.org/v#/sr_Latn//5aa5aae3b3752ad9
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	{0}–{1}	Date & Time	Generic	Formats - Intervals - Range	numeric	https://st.unicode.org/v#/sr_Latn//7dd6e0170bb598cd
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMMM d–d	Date & Time	Generic	Formats - Intervals - Date Formats	MMMMd/d	https://st.unicode.org/v#/sr_Latn//17d16777286b2000
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMMM d – MMMM d	Date & Time	Generic	Formats - Intervals - Date Formats	MMMMd/M	https://st.unicode.org/v#/sr_Latn//2cdabb3e33d3f8c1
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	null	Date & Time	Gregorian	DayOfMonth - abbreviated - Formatting	other	https://st.unicode.org/v#/sr_Latn//552b78d8dcc72e80
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMM ddd	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMddd	https://st.unicode.org/v#/sr_Latn//1448633d3d7929b4
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMM ddd, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMEddd	https://st.unicode.org/v#/sr_Latn//279bb5a21f5b3965
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMMM	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMM	https://st.unicode.org/v#/sr_Latn//75be2c5885156280
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMMM d	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMMd	https://st.unicode.org/v#/sr_Latn//241e8d953124cebd
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMMM ddd	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMMddd	https://st.unicode.org/v#/sr_Latn//6a12bc655d5ce185
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMMM d, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMMEd	https://st.unicode.org/v#/sr_Latn//69bf5c84dce4f246
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	G y MMMM ddd, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMMMMEddd	https://st.unicode.org/v#/sr_Latn//6d64c47a2b76e9fb
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMM ddd	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMddd	https://st.unicode.org/v#/sr_Latn//20c0a8816bd67ef6
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMM ddd, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEddd	https://st.unicode.org/v#/sr_Latn//54e1190a95f49538
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMMM ddd	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMMddd	https://st.unicode.org/v#/sr_Latn//7cf3368cd635d6c8
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	MMMM ddd, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMMEddd	https://st.unicode.org/v#/sr_Latn//7696ab9f172ec45f
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	y MMM ddd	Date & Time	Gregorian	Formats - Flexible - Date Formats	yMMMddd	https://st.unicode.org/v#/sr_Latn//16f54ebfeff8b128
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	y MMM ddd, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	yMMMEddd	https://st.unicode.org/v#/sr_Latn//2c2aa65c7fed7860
sr_Latn	Serbian (Latin)	Latin	modern	basic	n/a	y MMMM d	Date & Time	Gregorian	Formats - Flexible - Date Formats	yMMMMd	https://st.unicode.org/v#/sr_Latn//4fe1298242362b2b
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	y MMMM ddd	Date & Time	Gregorian	Formats - Flexible - Date Formats	yMMMMddd	https://st.unicode.org/v#/sr_Latn//7e794182e68e2c55
sr_Latn	Serbian (Latin)	Latin	modern	basic	n/a	y MMMM d, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	yMMMMEd	https://st.unicode.org/v#/sr_Latn//67d70e4c34bba1a3
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	y MMMM ddd, E	Date & Time	Gregorian	Formats - Flexible - Date Formats	yMMMMEddd	https://st.unicode.org/v#/sr_Latn//e64a74b2ab0f7bc
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	{0} {1}	Date & Time	Gregorian	Formats - Flexible - Append	Date-Timezone	https://st.unicode.org/v#/sr_Latn//7fa71371abb195ab
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	{1} {0}	Date & Time	Gregorian	Formats - Flexible - Append	Day-Of-Week	https://st.unicode.org/v#/sr_Latn//107872cff5810356
