# Grammatical Features
#Locale	ID	Feature	Usage	Values
Danish	da	grammaticalCase	general	nominative, genitive
Danish	da	grammaticalDefiniteness	general	unspecified, indefinite, definite
Danish	da	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dage	<div class='cldr_example'><span class='cldr_substituted'>2</span> dage</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dage</div>
Case (for measurement units)	nominative	Jeg tror, ​​at {0} er nok.	<div class='cldr_example'>Jeg tror, ​​at <span class='cldr_substituted'>1 århundrede</span> er nok.</div><div class='cldr_example'>❌  Jeg tror, ​​at <span class='cldr_substituted'>2 århundreders</span> er nok.</div>
Case (for measurement units)	genitive	Med {0} mellemrum	<div class='cldr_example'>Med <span class='cldr_substituted'>2 århundreders</span> mellemrum</div><div class='cldr_example'>❌  Med <span class='cldr_substituted'>1 århundrede</span> mellemrum</div>
Gender (for measurement units)	common	En {0}	<div class='cldr_example'>En <span class='cldr_substituted'>centimeter</span></div><div class='cldr_example'>❌  En <span class='cldr_substituted'>århundrede</span></div>
Gender (for measurement units)	neuter	Et {0}	<div class='cldr_example'>Et <span class='cldr_substituted'>århundrede</span></div><div class='cldr_example'>❌  Et <span class='cldr_substituted'>centimeter</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
electric-current	milliamperes	common	En milliampere	nominative	{0} milliampere	Jeg tror, ​​at 1 milliampere er nok.	{0} milliampere	Jeg tror, ​​at 2 milliampere er nok.
electric-current	milliamperes	common	En milliampere	genitive	{0} milliamperes	Med 1 milliamperes mellemrum	{0} milliamperes	Med 2 milliamperes mellemrum
electric-current	amperes	common	En ampere	nominative	{0} ampere	Jeg tror, ​​at 1 ampere er nok.	{0} ampere	Jeg tror, ​​at 2 ampere er nok.
electric-current	amperes	common	En ampere	genitive	{0} amperes	Med 1 amperes mellemrum	{0} amperes	Med 2 amperes mellemrum
electric-resistance	ohms	common	En ohm	nominative	{0} ohm	Jeg tror, ​​at 1 ohm er nok.	{0} ohm	Jeg tror, ​​at 2 ohm er nok.
electric-resistance	ohms	common	En ohm	genitive	{0} ohms	Med 1 ohms mellemrum	{0} ohms	Med 2 ohms mellemrum
energy	dalton • ( = 0.00000000014924180856 J)	common	En Da	nominative	{0} Da	Jeg tror, ​​at 1 Da er nok.	{0} Da	Jeg tror, ​​at 2 Da er nok.
energy	dalton • ( = 0.00000000014924180856 J)	common	En Da	genitive	{0} Da	Med 1 Da mellemrum	{0} Da	Med 2 Da mellemrum
energy	joules	common	En joule	nominative	{0} joule	Jeg tror, ​​at 1 joule er nok.	{0} joule	Jeg tror, ​​at 2 joule er nok.
energy	joules	common	En joule	genitive	{0} joules	Med 1 joules mellemrum	{0} joules	Med 2 joules mellemrum
