# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz48
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egalx
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egasn
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egast
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egba
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egbh
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egbns
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egc
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egdk
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egdt
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egfym
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	eggh
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	eggz
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egis
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egjs
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egkn
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	eglx
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egmn
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egmnf
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egmt
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egpts
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egshg
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egshr
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egsin
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egsuz
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	egwad
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lyba
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	macas
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mafes
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	marab
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	masal
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	matng
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	sddn
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	sdds
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	sddw
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	sdks
15	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	tn21
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ciab
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ciym
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gmb
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnc
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwbs
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mlbko
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne8
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngab
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngad
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngak
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngan
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngba
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngbe
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngbo
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngby
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngcr
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngde
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngeb
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	nged
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngek
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngen
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	nggo
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngim
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngji
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngkd
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngke
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngkn
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngko
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngkt
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngkw
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngla
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngna
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngni
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngog
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngon
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngos
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngoy
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngpl
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngri
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngso
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngta
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngyo
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ngza
15	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	shhl
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aobgo
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aobgu
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aobie
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aocab
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aoccu
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aocnn
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aocno
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aocus
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aohua
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aohui
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aolno
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aolsu
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aolua
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aomal
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aomox
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aonam
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aouig
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	aozai
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cdkn
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfbgf
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cgbzv
15	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdnd
15	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	djdj
15	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etaa
15	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etsn
15	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	kma
15	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	kmg
15	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	kmm
