#Locale	Prov.	Unconf.	Missing	Path*
asa	1	0	0	//ldml/dates/timeZoneNames/hourFormat
asa	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
asa	1	0	0	//ldml/dates/timeZoneNames/regionFormat
asa	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
asa	3	0	0	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
asa	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
asa	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
asa	3	0	0	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
asa	1	0	0	//ldml/localeDisplayNames/scripts/script[@type='*']
asa	1	0	0	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
asa	1	0	0	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
asa	1	0	0	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
asa	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/decimal
asa	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/group
asa	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/minusSign
asa	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/percentSign
asa	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/plusSign
asa	29	0	0	Totals
				
az_Arab	8	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
az_Arab	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
az_Arab	2	0	0	//ldml/dates/calendars/calendar[@type='*']/dayPeriods/dayPeriodContext[@type='*']/dayPeriodWidth[@type='*']/dayPeriod[@type='*']
az_Arab	7	0	0	//ldml/dates/calendars/calendar[@type='*']/days/dayContext[@type='*']/dayWidth[@type='*']/day[@type='*']
az_Arab	12	0	0	//ldml/dates/calendars/calendar[@type='*']/months/monthContext[@type='*']/monthWidth[@type='*']/month[@type='*']
az_Arab	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
az_Arab	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
az_Arab	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
az_Arab	1	0	0	//ldml/dates/timeZoneNames/hourFormat
az_Arab	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
az_Arab	1	0	0	//ldml/dates/timeZoneNames/regionFormat
az_Arab	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
az_Arab	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
az_Arab	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
az_Arab	3	0	0	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
az_Arab	5	0	0	//ldml/localeDisplayNames/territories/territory[@type='*']
az_Arab	1	0	0	//ldml/numbers/currencyFormats[@numberSystem='*']/currencyFormatLength/currencyFormat[@type='*']/pattern[@type='*']
az_Arab	1	0	0	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
az_Arab	1	0	0	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
az_Arab	1	0	0	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
az_Arab	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/decimal
az_Arab	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/group
az_Arab	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/minusSign
az_Arab	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/percentSign
az_Arab	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/plusSign
az_Arab	57	0	0	Totals
				
az_Cyrl	6	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
az_Cyrl	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
az_Cyrl	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
az_Cyrl	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
az_Cyrl	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
az_Cyrl	1	0	0	//ldml/dates/timeZoneNames/hourFormat
az_Cyrl	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
az_Cyrl	1	0	0	//ldml/dates/timeZoneNames/regionFormat
az_Cyrl	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
az_Cyrl	1	0	0	//ldml/localeDisplayNames/languages/language[@type='*'][@alt='*']
az_Cyrl	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
az_Cyrl	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
az_Cyrl	3	0	0	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
az_Cyrl	2	0	0	//ldml/localeDisplayNames/scripts/script[@type='*']
az_Cyrl	1	0	0	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
az_Cyrl	24	0	0	Totals
				
ba	8	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
ba	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
ba	2	0	0	//ldml/dates/calendars/calendar[@type='*']/dayPeriods/dayPeriodContext[@type='*']/dayPeriodWidth[@type='*']/dayPeriod[@type='*']
ba	7	0	0	//ldml/dates/calendars/calendar[@type='*']/days/dayContext[@type='*']/dayWidth[@type='*']/day[@type='*']
ba	12	0	0	//ldml/dates/calendars/calendar[@type='*']/months/monthContext[@type='*']/monthWidth[@type='*']/month[@type='*']
ba	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
ba	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
ba	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
ba	1	0	0	//ldml/dates/timeZoneNames/hourFormat
ba	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
ba	1	0	0	//ldml/dates/timeZoneNames/regionFormat
ba	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
ba	1	0	0	//ldml/delimiters/alternateQuotationEnd
ba	1	0	0	//ldml/delimiters/alternateQuotationStart
ba	1	0	0	//ldml/delimiters/quotationEnd
ba	1	0	0	//ldml/delimiters/quotationStart
ba	3	0	0	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
ba	1	0	0	//ldml/localeDisplayNames/languages/language[@type='*']
ba	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
